group,pg.per.gram,kmeth.per.day,kmeth.percent.per.day
forty.eight,88.0,0.0100,0.9966
forty.eight,19.9,0.0022,0.2238
forty.eight,160,0.0182,1.8230
nitrate,328,0.0382,3.8165
nitrate,132,0.0150,1.4996
nitrate,174,0.0199,1.9918
ammonium,147,0.0167,1.6694
ammonium,274,0.0317,3.1712
ammonium,24.5,0.0028,0.2756
molyb,25.2,0.0028,0.2838
molyb,11.5,0.0013,0.1293
mandn,31.6,0.0036,0.3556
mandn,25.7,0.0029,0.2889
mandn,13.8,0.0016,0.1550
